# Ukrainian translation of Terminals user interface.
# Format: english source text [TAB] translation. Escapes: 
 new line, 	 tab, \ backslash.
# Placeholders {0}, {1}... match the values of formatted texts.
&File	&Файл
&View	&Вигляд
&Tools	&Інструменти
&Help	&Довідка
&Terminal	&Термінал
&Groups	&Групи
F&avorites	&Обране
Fa&vorites	О&бране
S&hortcuts	&Ярлики
&About	&Про програму
&Add Current Connection To	&Додати поточне з’єднання до
Add Current Connection To	Додати поточне з’єднання до
&Capture Terminal Screen	&Знімок екрана термінала
Capture Terminal Screen	Знімок екрана термінала
&Create Group From Active Connections	&Створити групу з активних з’єднань
Create Group From Active Connections	Створити групу з активних з’єднань
&Disconnect	&Відключитися
&Export connections	&Експорт з’єднань
&Full Screen	&Повний екран
&Grab Input	&Захопити введення
&Import connections	&Імпорт з’єднань
&Lock Toolbars	За&блокувати панелі інструментів
&Menubar	&Рядок меню
&Networking Tools	&Мережеві інструменти
&New Favorite	&Нове з’єднання
&Organize Favorites	&Упорядкувати обране
&Organize Groups	Упорядкувати &групи
&Screen Capture Manager	&Менеджер знімків екрана
&Standard Toolbar	&Стандартна панель інструментів
&View in new Window	Відкрити в &новому вікні
C&redential Management	Керування &обліковими даними
Check for &Updates...	Перевірити &оновлення...
O&rganize Favorites Toolbar	Упорядкувати панель &обраного
Or&ganize Shortcuts	Упорядкувати я&рлики
Sh&ow In Multi Screens	Показати на &кількох екранах
E&xit	В&ихід
&Options	&Параметри
Rebuild Groups Index	Перебудувати індекс груп
Rebuild Shortcuts	Перебудувати ярлики
Rebuild Toolbars	Перебудувати панелі інструментів
Clear History	Очистити історію
Open Log Folder	Відкрити теку журналів
Open SSH Agent	Відкрити SSH-агент
Open SSH Keygen	Відкрити генератор SSH-ключів
Connect To:	Підключитися до:
Connect To	Підключитися до
Connect To All	Підключитися до всіх
Connect To Console	Підключитися до консолі
Connect To Server	Підключитися до сервера
Disconnect From Server	Відключитися від сервера
Networking Tools	Мережеві інструменти
New Release Available	Доступна нова версія
New Release Available - {0}	Доступна нова версія - {0}
Organize Favorites	Упорядкувати обране
Organize Groups	Упорядкувати групи
Organize Shortcuts	Упорядкувати ярлики
Organize Favorites Toolbar	Упорядкувати панель обраного
Screen Capture Manager	Менеджер знімків екрана
Credential Management	Керування обліковими даними
Grab input	Захопити введення
Show In Multi Screens	Показати на кількох екранах
Show in Single Screen	Показати на одному екрані
Show in single screens	Показати на одному екрані
You only have one screen	У вас лише один екран
TabControl Page 3	Сторінка 3
TabControl Page 4	Сторінка 4
Capture Terminal Screen. This feature has to be enabled in application options first.  (Ctrl+F12)	Знімок екрана термінала. Спершу цю функцію треба ввімкнути в параметрах програми.  (Ctrl+F12)
Capture Terminal Screen. This feature has to be enabled in application options first. (Ctrl+F12)	Знімок екрана термінала. Спершу цю функцію треба ввімкнути в параметрах програми. (Ctrl+F12)
Check if New Release is Available	Перевірити, чи доступна нова версія
Check if New Release is Available on GitHub	Перевірити, чи є нова версія на GitHub
Click to Show or Hide Terminals Main Window	Клацніть, щоб показати або сховати головне вікно Terminals
Creates a new favorite	Створює нове з’єднання
Full Screen (F11)	Повний екран (F11)
Grab Input (Ctrl+G)	Захопити введення (Ctrl+G)
Lock all toolbars	Заблокувати всі панелі інструментів
New Favorite (Ctrl+N)	Нове з’єднання (Ctrl+N)
Open About Window	Відкрити вікно «Про програму»
Open Credential Management	Відкрити керування обліковими даними
Open Options	Відкрити параметри
Opens export dialog to select connections to export into a xml file.	Відкриває діалог вибору з’єднань для експорту у файл XML.
Organize your favorite connections	Упорядкувати ваші з’єднання в обраному
Organize your favorite connections in toolbar	Упорядкувати з’єднання на панелі обраного
Recreates Shortcuts list to default state.	Відновлює стандартний список ярликів.
Recreates connection "Groups" list used by all connections.\nRemoves all unused groups.	Перебудовує список «Груп», який використовують усі з’єднання.\nВидаляє всі невикористані групи.
Restores last saved position of all Toolbars in main window	Відновлює останнє збережене розташування всіх панелей інструментів у головному вікні
Set Terminals full screen	Розгорнути Terminals на весь екран
Show Terminals in all screen you have connected	Показати Terminals на всіх підключених екранах
Show terminals in a new window	Показати термінали в новому вікні
Show/Hide Groups pane	Показати/сховати панель груп
Show/Hide Shourtcutes	Показати/сховати ярлики
Show/Hide favorite toolbar	Показати/сховати панель обраного
Show/Hide favorits pane	Показати/сховати панель обраного
Show/Hide standard toolbar	Показати/сховати стандартну панель інструментів
Type here the stored connection favorite name and press Enter to quickly connect to\nor type server name or IP address and press Enter to create new Favorite\nor press Tab and then Enter to immediately connect to.\nShort cut key  (F4)	Введіть назву збереженого з’єднання й натисніть Enter, щоб швидко підключитися,\nабо введіть ім’я сервера чи IP-адресу й натисніть Enter, щоб створити нове з’єднання,\nабо натисніть Tab, а потім Enter, щоб одразу підключитися.\nКлавіша швидкого доступу  (F4)
About	Про програму
Alphabetical	За абеткою
Are you sure that you want to disconnect from the active terminal?	Ви дійсно бажаєте відключитися від активного термінала?
Capture Manager	Менеджер знімків
Delete Multiple Items	Видалення кількох елементів
Delete Item	Видалення елемента
Are you sure you want to delete these {0} files?	Ви дійсно бажаєте видалити ці файли ({0})?
Are you sure you want to delete this file?	Ви дійсно бажаєте видалити цей файл?
Are you sure you want to delete this folder?	Ви дійсно бажаєте видалити цю теку?
Connection Information	Відомості про з’єднання
Control Panel	Панель керування
Credentials Manager	Менеджер облікових даних
Exit Terminals	Вийти з Terminals
File	Файл
Full Screen	Повний екран
Grab Input	Захопити введення
Help	Довідка
&Hide / Show	&Сховати / показати
In order to change the toolbars, you must first unlock them.	Щоб змінити панелі інструментів, спершу розблокуйте їх.
Lock Toolbars	Заблокувати панелі інструментів
Manage Toolbar	Керування панеллю інструментів
Management	Керування
Minimize	Згорнути
Organize Shortucts	Упорядкувати ярлики
Other	Інше
Quick Connect	Швидке підключення
Rebuild Tags Index	Перебудувати індекс груп
Restore Screen	Відновити екран
Restore	Відновити
Shortcuts	Ярлики
